Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/concurrent/AIOExecutorService;0;1;1;12;14;1;0;0;28;0;0;0;14;0.08;93;1;0;0;0.24;0;0;5.57
org/apache/cassandra/concurrent/DebuggableScheduledThreadPoolExecutor;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor;1;7;2;133;7;3;2;3;8;21;2;1;4;1.17;43;1;0;0.93;0.32;1;1;5
org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutor;0;1;1;5;1;0;0;4;2;0;1;3;1;2;10;0;0;0;1;0;0;9
org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutorMBean;0;1;1;2;2;1;0;2;2;1;1;1;2;2;2;0;0;0;0.75;0;0;0
org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutor;0;3;2;46;15;0;1;7;39;79;3;4;11;0.50;190;1;0;0;0.21;0;0;11.47
org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutorMBean;0;1;1;13;2;1;0;3;2;1;2;1;2;2;2;0;0;0;1;0;0;0
org/apache/cassandra/concurrent/NamedThreadFactory;0;1;1;4;3;1;0;3;13;1;3;0;3;0;52;1;0;0;0.58;0;0;15.33
org/apache/cassandra/concurrent/RetryingScheduledThreadPoolExecutor;0;4;1;12;4;4;0;3;5;6;3;0;3;2;24;0;0;0.99;0.55;1;1;5
org/apache/cassandra/concurrent/Stage;1;3;1;23;7;2;0;5;22;17;5;0;4;0.68;299;0.17;11;0.72;0.33;1;1;40
org/apache/cassandra/concurrent/StageManager;1;6;2;24;6;1;0;6;23;9;1;5;3;0.90;157;0.50;0;0;0.40;0;0;24.83
