Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/dht/AbstractBounds;1;3;1;14;10;1;2;13;25;35;9;7;9;0.91;121;0.50;4;0;0.31;1;1;10.50
org/apache/cassandra/dht/AbstractByteOrderedPartitioner;0;4;2;71;12;1;2;7;13;66;2;5;10;1.09;70;0.33;2;0;0.26;0;0;4.58
org/apache/cassandra/dht/BigIntegerToken;0;1;1;2;3;0;0;3;6;3;2;1;3;1.50;23;0;0;0;0.50;0;0;6.33
org/apache/cassandra/dht/BootStrapper;0;6;1;21;9;1;0;6;10;36;0;6;4;1.13;58;1;2;0;0.24;0;0;5
org/apache/cassandra/dht/Bounds;0;1;1;3;8;0;0;6;21;14;1;5;6;0.57;123;0;0;0;0.46;0;0;14.25
org/apache/cassandra/dht/ByteOrderedPartitioner;0;3;2;10;2;0;0;2;5;1;0;2;2;2;15;0;0;0;0.75;0;0;6.50
org/apache/cassandra/dht/BytesToken;0;5;3;45;6;0;0;6;15;3;3;3;6;1.20;77;0;0;0;0.33;0;0;11.67
org/apache/cassandra/dht/CollatingOrderPreservingPartitioner;1;4;2;16;4;0;0;3;15;4;0;3;3;0.67;45;0;0;0;0.56;0;0;10
org/apache/cassandra/dht/IPartitioner;0;1;1;11;9;1;0;28;9;36;26;3;9;2;9;0;0;0;0.39;0;0;0
org/apache/cassandra/dht/LocalPartitioner;0;3;2;15;13;1;0;7;16;72;0;7;13;0.50;78;1;1;0;0.31;0;0;4.92
org/apache/cassandra/dht/LocalToken;0;1;1;2;5;0;0;3;10;0;1;2;5;0.88;58;0.50;1;0;0.36;0;0;10.20
org/apache/cassandra/dht/OrderPreservingPartitioner;2;6;3;103;17;1;0;14;65;128;1;14;14;0.86;434;0.25;2;0;0.21;0;0;24.29
org/apache/cassandra/dht/RandomPartitioner;4;12;3;120;14;1;0;10;51;75;1;10;13;0.85;315;0.40;2;0;0.37;0;0;21.14
org/apache/cassandra/dht/Range;1;4;2;60;19;0;1;15;20;171;13;3;17;1.06;115;0;0;0;0.23;0;0;5
org/apache/cassandra/dht/StringToken;0;1;1;2;2;0;0;3;4;1;2;1;2;2;15;0;0;0;0.67;0;0;6
org/apache/cassandra/dht/Token;0;2;2;7;8;1;4;35;13;14;35;1;6;0.86;49;0.67;1;0;0.48;1;1;4.75
