Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/gms/ApplicationState;0;2;2;3;4;2;0;6;7;4;6;0;2;0.97;156;0.08;12;0.87;0.44;1;1;35
org/apache/cassandra/gms/EndpointState;1;3;2;8;15;1;0;11;16;105;6;5;4;1.07;98;0.25;2;0;0.29;0;0;5
org/apache/cassandra/gms/FailureDetector;0;2;1;28;13;1;0;4;14;78;0;4;13;1.08;84;0.83;1;0;0.31;0;0;5
org/apache/cassandra/gms/GossipDigest;0;1;1;2;9;1;0;3;16;12;2;2;4;0.66;93;0.25;1;0;0.28;0;0;8.89
org/apache/cassandra/gms/GossipDigestAck2Message;0;1;1;6;4;1;0;3;7;2;2;2;1;0.67;27;0.50;1;0;0.50;0;0;5.20
org/apache/cassandra/gms/GossipDigestAck2VerbHandler;0;2;1;13;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/gms/GossipDigestAckMessage;0;1;1;7;5;1;0;3;9;4;2;2;0;0.75;40;0.33;1;0;0.42;0;0;6.40
org/apache/cassandra/gms/GossipDigestAckVerbHandler;0;4;2;23;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/gms/GossipDigestSynMessage;0;1;1;13;3;1;0;2;4;3;1;1;2;1.50;21;0.33;1;0;0.44;0;0;5
org/apache/cassandra/gms/GossipDigestSynVerbHandler;0;4;2;25;3;1;0;3;4;3;0;3;2;1.50;19;1;0;0;0.50;0;0;5
org/apache/cassandra/gms/Gossiper;3;27;3;242;48;1;0;12;49;1128;1;11;21;1.02;307;0.68;3;0;0.15;0;0;5
org/apache/cassandra/gms/PureRandom;0;1;1;2;3;2;0;0;17;1;0;0;2;0.50;127;1;0;0.88;0.44;0;0;40.67
org/apache/cassandra/gms/VersionedValue;0;2;2;15;7;1;0;11;11;15;9;3;2;0.98;72;0;1;0;0.53;0;0;7.71
