Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/locator/AbstractEndpointSnitch;0;2;2;16;5;1;3;5;6;10;3;2;5;1.25;21;1;0;0;0.50;0;0;3
org/apache/cassandra/locator/AbstractReplicationStrategy;1;8;2;55;17;1;4;14;18;136;7;8;16;1.06;103;0.50;2;0;0.21;0;0;4.71
org/apache/cassandra/locator/DynamicEndpointSnitch;0;12;3;143;23;0;0;13;86;157;3;13;15;0.87;484;0.83;1;0;0.21;0;0;19.52
org/apache/cassandra/locator/DynamicEndpointSnitchMBean;0;2;2;7;6;1;0;1;6;15;1;0;6;2;6;0;0;0;0.58;0;0;0
org/apache/cassandra/locator/Ec2Snitch;0;3;2;59;5;0;0;3;6;10;0;3;4;1.25;34;1;0;0;0.53;0;0;5
org/apache/cassandra/locator/EndpointSnitchInfo;0;1;1;1;4;1;0;3;13;6;0;3;4;2;37;0;0;0;0.63;0;0;8.25
org/apache/cassandra/locator/IEndpointSnitch;0;2;2;8;6;1;0;12;6;15;12;0;6;2;6;0;0;0;0.54;0;0;0
org/apache/cassandra/locator/ILatencyPublisher;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/locator/LocalStrategy;0;1;1;6;2;0;0;5;5;1;0;5;2;2;17;0;0;0;0.67;0;0;7.50
org/apache/cassandra/locator/NetworkTopologyStrategy;1;6;1;63;5;0;0;7;6;10;1;6;5;1.25;33;1;1;0;0.40;0;0;5
org/apache/cassandra/locator/OldNetworkTopologyStrategy;0;1;1;5;2;0;0;4;20;1;0;4;2;2;177;0;0;0;0.67;0;0;87.50
org/apache/cassandra/locator/PropertyFileSnitch;0;3;1;34;5;0;0;3;6;10;0;3;5;1.25;34;1;0;0;0.80;0;0;5
org/apache/cassandra/locator/SimpleSnitch;0;1;1;4;5;0;0;1;7;10;0;1;5;2;18;0;0;0;0.55;0;0;2.60
org/apache/cassandra/locator/SimpleStrategy;0;1;1;5;2;0;0;4;16;1;0;4;2;2;71;0;0;0;0.67;0;0;34.50
org/apache/cassandra/locator/TokenMetadata;0;5;2;37;37;1;0;12;38;666;7;6;35;1.03;230;1;0;0;0.19;0;0;5
