Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/net/AsyncResult;0;5;1;25;5;1;0;3;6;10;0;3;5;1.25;37;1;0;0;0.40;0;0;5
org/apache/cassandra/net/CompactEndpointSerializationHelper;0;1;1;4;3;1;0;3;10;3;3;0;3;2;30;0;0;0;0.33;0;0;9
org/apache/cassandra/net/Header;1;4;1;55;9;1;0;5;17;8;3;3;0;0.73;91;0.80;2;0;0.33;0;0;8.56
org/apache/cassandra/net/IAsyncCallback;0;1;1;2;1;1;0;8;1;0;6;2;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/net/IAsyncResult;0;3;1;6;3;1;0;4;3;3;2;2;3;2;3;0;0;0;0.50;0;0;0
org/apache/cassandra/net/IMessageCallback;0;3;1;26;1;1;0;3;1;0;3;0;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/net/IVerbHandler;0;1;1;7;1;1;0;22;1;0;21;1;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/net/IncomingTcpConnection;0;9;2;128;3;2;0;1;4;3;0;1;2;1.50;21;1;0;0.97;0.67;0;0;5
org/apache/cassandra/net/Message;1;5;2;79;14;1;0;62;31;55;56;7;12;0.63;170;0.50;2;0;0.31;0;0;10.86
org/apache/cassandra/net/MessageDeliveryTask;0;7;2;52;2;1;0;2;3;1;0;2;2;2;16;1;1;0;0.67;0;0;5
org/apache/cassandra/net/MessagingService;2;26;3;569;35;1;0;20;36;595;2;18;30;1.03;224;0.93;4;0;0.16;0;0;5
org/apache/cassandra/net/OutboundTcpConnection;2;7;2;16;10;2;0;3;11;45;2;1;5;1.11;68;1;0;0.88;0.43;0;0;5
org/apache/cassandra/net/OutboundTcpConnectionPool;0;1;1;4;3;1;0;4;8;0;1;3;0;0;74;0;2;0;0.56;0;0;23
org/apache/cassandra/net/ResponseVerbHandler;1;6;1;91;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/net/sink/IMessageSink;1;2;1;3;1;1;0;2;1;0;1;1;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/net/sink/SinkManager;1;3;1;58;6;1;0;2;15;0;0;2;5;0.20;79;1;0;0;0.28;0;0;12
