Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/cache/AutoSavingCache;0;5;2;30;11;0;2;10;12;55;5;6;11;1.10;62;0.83;1;0;0.22;0;0;4.09
org/apache/cassandra/cache/ConcurrentLinkedHashCache;0;2;2;23;12;1;0;2;13;66;0;2;12;1.09;74;0.50;0;0;0.30;0;0;5
org/apache/cassandra/cache/ConcurrentLinkedHashCacheProvider;0;2;2;25;2;1;0;2;3;1;0;2;2;2;12;0;0;0;0.67;0;0;5
org/apache/cassandra/cache/FreeableMemory;0;2;1;55;6;1;0;2;7;15;2;0;4;1.20;37;0;0;0;0.67;0;0;5
org/apache/cassandra/cache/ICache;0;1;1;21;9;1;0;9;9;36;9;0;9;2;9;0;0;0;0.48;0;0;0
org/apache/cassandra/cache/InstrumentingCache;1;1;1;5;17;1;1;4;40;2;2;2;17;0.76;219;1;1;0;0.29;0;0;11.53
org/apache/cassandra/cache/InstrumentingCacheMBean;1;1;1;2;6;1;0;2;6;15;2;0;6;2;6;0;0;0;0.58;0;0;0
org/apache/cassandra/cache/IRowCacheProvider;0;2;2;23;1;1;0;5;1;0;4;1;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/cache/SerializingCache;0;3;2;40;13;1;0;5;14;78;0;5;11;1.08;82;1;1;0;0.28;0;0;5
org/apache/cassandra/cache/SerializingCacheProvider;0;2;2;25;2;1;0;3;3;1;0;3;2;2;12;0;0;0;0.67;0;0;5
