Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/io/AbstractCompactedRow;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/CompactionController;0;2;2;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/CompactionInfo;0;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/CompactionIterator;0;5;4;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/CompactionType;0;3;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/ICompactSerializer3;0;1;1;21;1;1;0;3;1;0;2;1;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/io/LazilyCompactedRow;0;2;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/PrecompactedRow;0;2;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/sstable/AbstractSSTableSimpleWriter;0;2;1;4;12;1;2;21;38;52;2;19;7;0.80;202;1;5;0;0.23;0;0;15.33
org/apache/cassandra/io/sstable/Descriptor;0;2;1;47;16;1;0;21;17;120;19;2;13;1.07;110;0.07;0;0;0.26;1;1;5
org/apache/cassandra/io/sstable/IndexHelper;1;2;1;88;9;1;0;11;36;34;0;11;8;0.88;176;0;0;0;0.27;0;0;18.44
org/apache/cassandra/io/sstable/SSTable;0;5;2;51;18;1;2;14;19;153;6;8;10;1.06;121;0.23;6;0;0.16;0;0;5
org/apache/cassandra/io/sstable/SSTableIdentityIterator;1;3;2;332;15;1;0;12;16;105;4;8;14;1.07;102;0.75;3;0;0.27;0;0;5
org/apache/cassandra/io/sstable/SSTableLoader;1;3;2;6;8;1;0;11;40;12;2;11;3;0.61;185;1;2;0;0.23;0;0;21.63
org/apache/cassandra/io/sstable/SSTableReader;1;8;2;66;41;0;0;48;42;820;27;25;34;1.03;258;0.92;7;0;0.08;0;0;5
org/apache/cassandra/io/sstable/SSTableSimpleUnsortedWriter;1;3;2;28;5;0;0;8;24;0;0;8;2;0.33;146;1;0;0;0.31;0;0;27.60
org/apache/cassandra/io/sstable/SSTableSimpleWriter;0;2;1;5;5;0;0;8;11;4;0;8;3;0.25;55;1;1;0;0.34;0;0;9.80
org/apache/cassandra/io/sstable/SSTableWriter;0;11;4;157;15;0;0;22;16;105;5;17;11;1.07;96;1;5;0;0.17;0;0;5
org/apache/cassandra/io/util/BufferedRandomAccessFile;0;2;1;25;35;2;0;17;78;359;13;4;30;0.64;995;0.89;0;0.62;0.22;1;9;26.91
org/apache/cassandra/io/util/FileUtils;0;1;1;17;15;1;0;5;16;105;4;1;15;1.07;96;1;0;0;0.11;0;0;5
org/apache/cassandra/io/util/MemoryInputStream;0;1;1;23;6;0;0;2;8;0;0;2;4;0.50;48;1;1;0;0.50;0;0;6.67
org/apache/cassandra/io/util/MemoryOutputStream;0;1;1;21;3;2;0;1;4;3;0;1;3;1.50;20;1;0;0.71;0.56;1;1;5
