Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/auth/IAuthenticator;0;1;1;3;4;1;0;5;5;6;2;3;3;1.33;11;0;0;0;0.67;0;0;1.25
org/apache/cassandra/auth/Resources;0;1;1;4;2;1;0;1;11;1;0;1;2;2;43;0;0;0;0.5;0;0;19.5
org/apache/cassandra/auth/SimpleAuthenticator;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/auth/SimpleAuthority;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/cache/AutoSavingCache;0;5;2;65;11;0;2;10;12;55;5;6;11;1.1;62;0.83;1;0;0.24;0;0;4.09
org/apache/cassandra/cache/SerializingCache;0;1;1;6;14;1;0;5;15;91;0;5;12;1.08;88;1;1;0;0.29;0;0;5
org/apache/cassandra/cache/SerializingCacheProvider;0;1;1;3;2;1;0;3;3;1;0;3;2;2;12;0;0;0;0.67;0;0;5
org/apache/cassandra/cli/CliClient;3;18;2;287;83;1;0;18;84;3403;1;17;9;1.01;508;1;2;0;0.13;0;0;5
org/apache/cassandra/cli/CliMain;1;3;2;20;10;1;0;10;11;45;0;10;8;1.11;66;0.67;3;0;0.13;0;0;5
org/apache/cassandra/cli/CliOptions;1;1;1;2;3;1;0;2;4;3;0;2;2;1.5;34;1;1;0;0.44;0;0;5
org/apache/cassandra/cli/CliUtils;0;1;1;5;7;1;0;2;8;21;0;2;7;2;42;0;0;0;0.29;0;0;5
org/apache/cassandra/client/RingCache;0;1;1;62;5;1;0;6;6;10;1;5;5;1.25;34;1;1;0;0.45;0;0;5
org/apache/cassandra/concurrent/AIOExecutorService;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
