Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/cql/AbstractModification;0;2;2;17;11;1;2;6;12;55;2;4;11;1.16;63;0.86;0;0;0.3;0;0;4.09
org/apache/cassandra/cql/CreateColumnFamilyStatement;0;4;3;81;16;1;0;6;17;120;0;6;8;1.07;123;0.96;0;0;0.28;0;0;5
org/apache/cassandra/cql/DeleteStatement;0;2;2;33;7;0;0;5;8;21;0;5;7;1.17;44;1;0;0;0.39;0;0;5
org/apache/cassandra/cql/jdbc/JdbcCounterColumn;0;1;1;21;2;0;0;2;3;1;1;1;0;1;11;0;1;0;1;0;0;4
org/apache/cassandra/cql/jdbc/JdbcDecimal;1;1;1;8;17;0;0;3;26;136;2;1;15;1;109;0;1;0;0.39;0;0;5.35
org/apache/cassandra/cql/jdbc/JdbcInt32;0;1;1;0;17;0;0;5;29;136;2;3;15;1;97;0;1;0;0.39;0;0;4.65
org/apache/cassandra/cql/jdbc/JdbcLong;0;1;1;2;17;0;1;6;29;136;3;3;15;1;97;0;1;0;0.39;0;0;4.65
org/apache/cassandra/cql/jdbc/TypesMap;0;3;1;24;3;1;0;16;11;1;0;16;2;0.5;109;1;0;0;0.5;0;0;35
org/apache/cassandra/cql/QueryProcessor;1;11;3;113;26;1;0;18;27;325;1;17;6;1.4;160;0.5;0;0;0.1;0;0;5
org/apache/cassandra/cql/SelectStatement;0;1;1;16;26;1;0;7;27;325;1;6;26;1.4;163;1;2;0;0.15;0;0;5
org/apache/cassandra/cql/Term;1;1;1;6;11;1;0;10;12;55;7;3;10;42370;68;1;1;0;0.25;1;1;5
org/apache/cassandra/cql/UpdateStatement;2;4;2;35;14;0;0;8;15;91;0;8;13;1.08;88;1;0;0;0.28;0;0;5
