Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/db/AbstractColumnContainer;0;3;1;24;24;1;2;9;25;276;2;7;23;1.04;147;1;1;0;0.2;0;0;5
org/apache/cassandra/db/ArrayBackedSortedColumns;0;2;1;10;27;4;0;13;63;203;7;11;16;0.69;525;0.5;2;0.77;0.19;3;5;18.3
org/apache/cassandra/db/CollationController;3;7;2;71;6;1;0;4;7;15;0;4;3;1.2;42;1;2;0;0.31;0;0;5
org/apache/cassandra/db/Column;1;2;1;10;32;1;4;20;33;496;13;8;30;1.03;197;1;1;0;0.15;1;1;5
org/apache/cassandra/db/ColumnFamily;0;2;1;15;41;0;0;60;102;654;38;23;38;0.74;621;0.67;2;0;0.12;0;0;14.07
org/apache/cassandra/db/ColumnFamilySerializer;1;5;2;38;11;1;0;7;12;55;2;6;11;1.1;67;1;0;0;0.39;0;0;5
org/apache/cassandra/db/ColumnFamilyStore;6;41;5;455;141;1;0;58;142;9870;33;31;123;1.01;876;0.63;17;0;0.06;0;0;5
org/apache/cassandra/db/ColumnFamilyStoreMBean;0;5;3;16;52;1;0;3;52;1326;2;1;52;2;52;0;0;0;0.37;0;0;0
org/apache/cassandra/db/ColumnIndexer;0;1;1;2;7;1;0;9;40;15;0;9;4;0.33;239;0;0;0;0.33;0;0;33
org/apache/cassandra/db/columniterator/ICountableColumnIterator;0;1;1;21;2;1;0;4;2;1;3;1;2;2;2;0;0;0;1;0;0;0
org/apache/cassandra/db/ColumnSerializer;1;3;2;29;6;1;0;8;7;15;4;5;6;1.2;41;0.2;0;0;0.42;0;0;5
org/apache/cassandra/db/commitlog/CommitLog;1;4;2;43;20;1;0;11;21;190;5;6;13;1.05;126;0.67;2;0;0.17;0;0;5
org/apache/cassandra/db/commitlog/CommitLogSegment;0;4;1;24;17;1;0;5;18;136;1;4;11;1.06;108;0.67;1;0;0.31;0;0;5
org/apache/cassandra/db/commitlog/ReplayPosition;0;1;1;9;6;1;0;8;7;15;8;1;6;1.2;41;0;2;0;0.28;1;1;5
org/apache/cassandra/db/compaction/AbstractCompactedRow;1;1;1;4;6;1;3;9;7;15;8;1;6;1;13;0;1;0;0.38;0;0;1
org/apache/cassandra/db/compaction/AbstractCompactionIterable;1;5;2;31;4;1;2;9;5;6;2;7;3;1.33;25;1;3;0;0.38;0;0;5.75
org/apache/cassandra/db/compaction/AbstractCompactionStrategy;0;5;2;44;10;1;2;8;15;41;5;5;8;0.93;53;0.67;1;0;0.3;0;0;4
org/apache/cassandra/db/compaction/AbstractCompactionTask;0;1;1;7;8;1;1;7;15;2;4;3;7;0.43;65;1;1;0;0.3;0;0;6.88
org/apache/cassandra/db/compaction/CompactionController;0;3;2;26;9;1;0;11;10;36;6;5;9;1.13;61;0.57;1;0;0.25;0;0;5
org/apache/cassandra/db/compaction/CompactionInfo;0;2;2;32;9;1;0;7;17;8;6;1;9;0.7;112;1;1;0;0.31;0;0;10.67
org/apache/cassandra/db/compaction/CompactionIterable;0;3;1;12;5;0;1;7;6;10;2;5;3;1.25;34;1;0;0;0.44;0;0;5
org/apache/cassandra/db/compaction/CompactionManager;1;16;3;511;29;1;0;15;30;406;3;12;20;1.04;180;0.67;3;0;0.15;0;0;5
org/apache/cassandra/db/compaction/CompactionManagerMBean;0;3;2;26;5;1;0;2;5;10;2;0;5;2;5;0;0;0;0.6;0;0;0
org/apache/cassandra/db/compaction/CompactionTask;0;9;2;88;9;0;1;6;10;36;1;5;6;1.13;59;1;0;0;0.2;0;0;5
org/apache/cassandra/db/compaction/LazilyCompactedRow;0;4;2;16;10;0;0;9;11;45;2;8;9;1.11;71;1;4;0;0.28;0;0;5
org/apache/cassandra/db/compaction/LeveledCompactionStrategy;0;8;2;120;11;0;0;7;12;55;0;7;11;1.1;71;1;1;0;0.24;0;0;5
org/apache/cassandra/db/compaction/LeveledCompactionTask;0;4;3;57;7;0;0;4;8;21;0;4;3;1.17;44;1;0;0;0.25;0;0;5
org/apache/cassandra/db/compaction/LeveledManifest;2;10;3;295;22;1;0;5;23;231;1;4;10;1.05;140;0.75;2;0;0.3;0;0;5
org/apache/cassandra/db/compaction/ParallelCompactionIterable;0;4;1;35;4;0;0;6;5;6;1;5;3;1.33;27;1;0;0;0.63;0;0;5
org/apache/cassandra/db/compaction/PrecompactedRow;0;3;2;44;11;0;0;5;12;55;0;5;10;1.1;68;1;1;0;0.25;0;0;5
org/apache/cassandra/db/compaction/SizeTieredCompactionStrategy;0;3;1;14;12;0;0;4;13;66;0;4;9;1.09;77;1;0;0;0.22;0;0;5
org/apache/cassandra/db/compaction/UserInterruptedException;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/context/CounterContext;0;3;2;232;18;1;0;11;19;153;5;6;15;1.06;114;1;0;0;0.27;0;0;5
org/apache/cassandra/db/CounterColumn;1;2;1;110;25;0;0;18;26;300;4;14;22;1.04;153;1;1;0;0.14;0;0;5
org/apache/cassandra/db/CounterMutation;0;4;2;116;14;1;0;8;15;91;2;7;13;1.08;88;1;2;0;0.17;0;0;5
org/apache/cassandra/db/DataTracker;3;7;3;85;40;1;0;9;41;780;4;7;36;1.03;246;0.67;1;0;0.17;0;0;5
