Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/service/AbstractCassandraDaemon;1;4;2;44;14;1;1;3;15;91;1;2;11;1.08;79;0.8;0;0;0.5;0;0;4.29
org/apache/cassandra/service/AntiEntropyService;1;7;2;107;8;1;0;7;9;28;1;6;2;1.14;52;0.75;1;0;0.34;0;0;5
org/apache/cassandra/service/ClientState;0;2;2;26;17;1;0;12;18;136;7;5;13;1.06;107;1;1;0;0.24;0;0;5
org/apache/cassandra/service/GCInspector;0;2;1;5;3;1;0;1;4;3;0;1;2;1.5;28;0.4;1;0;1;0;0;5
org/apache/cassandra/service/LoadBroadcaster;0;1;1;5;9;1;0;5;10;36;0;5;8;1.13;58;0.5;1;0;0.47;0;0;5
org/apache/cassandra/service/MigrationManager;0;1;1;14;16;1;0;8;17;120;1;7;13;1.07;99;1;0;0;0.19;0;0;5
org/apache/cassandra/service/RangeSliceResponseResolver;0;3;1;15;7;1;0;4;8;21;1;3;7;1.17;48;0.83;0;0;0.36;0;0;5
org/apache/cassandra/service/ReadCallback;0;1;1;12;12;1;1;14;13;66;4;10;7;1.09;80;0.75;3;0;0.24;0;0;5
org/apache/cassandra/service/RowDigestResolver;0;1;1;13;6;0;0;4;16;13;0;4;6;2;70;0;0;0;0.44;0;0;10.67
org/apache/cassandra/service/RowRepairResolver;1;3;1;53;7;0;0;8;8;21;3;5;6;1.17;44;0.5;0;0;0.24;0;0;5
org/apache/cassandra/service/StorageProxy;5;15;2;288;47;1;0;20;48;1081;1;19;37;1.02;298;0.88;7;0;0.08;0;0;5
org/apache/cassandra/service/StorageService;0;24;4;555;142;1;0;38;143;10011;14;24;105;1.01;875;0.65;11;0;0.07;0;0;5
org/apache/cassandra/service/StorageServiceMBean;0;5;3;27;65;1;0;5;66;2080;2;3;64;2;70;0;0;0;0.21;0;0;0.08
