Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/streaming/FileStreamTask;1;3;3;39;7;0;0;5;8;21;0;5;3;1.17;51;0.78;2;0;0.31;0;0;5
org/apache/cassandra/streaming/IncomingStreamReader;1;3;2;15;4;1;0;5;5;6;0;5;2;1.33;29;1;3;0;0.4;0;0;5
org/apache/cassandra/streaming/PendingFile;0;1;1;17;9;1;0;13;25;24;9;5;8;0.65;156;0.11;4;0;0.29;1;1;15.33
org/apache/cassandra/streaming/StreamHeader;0;1;1;21;4;1;0;7;7;4;5;3;3;0.67;39;0.2;2;0;0.6;0;0;7.5
org/apache/cassandra/streaming/StreamIn;0;1;1;3;4;1;0;3;5;6;0;3;4;1.33;25;1;0;0;0.43;0;0;5
org/apache/cassandra/streaming/StreamingRepairTask;0;3;2;31;8;1;0;3;9;28;2;2;3;1.14;59;0.73;1;0;0.34;0;0;5
org/apache/cassandra/streaming/StreamInSession;0;2;2;15;13;1;0;6;14;78;2;4;12;1.08;86;1;2;0;0.19;0;0;5
org/apache/cassandra/streaming/StreamOutSession;0;1;1;59;26;1;0;11;27;325;3;8;22;1.4;164;0.88;1;0;0.16;0;0;5
org/apache/cassandra/streaming/StreamReply;0;1;1;19;4;1;0;8;19;2;1;8;3;0.67;74;0;2;0;0.47;0;0;16.5
org/apache/cassandra/streaming/StreamRequestMessage;0;1;1;18;5;1;0;6;6;10;1;5;2;1.25;38;1;3;0;0.31;0;0;5
